id,model,avg_similarity,avg_naturalness
224,CodeSage,1,2.5
225,CodeSage,2.5,1.5
226,CodeSage,1,1.5
227,CodeSage,3.5,1.5
228,CodeSage,1,1.5
229,CodeSage,3.5,2.5
230,CodeSage,2.5,1.5
231,CodeSage,1,1.5
232,CodeSage,1,1.5
233,CodeSage,1,1.5
234,CodeSage,2.5,1.5
235,CodeSage,1,1.5
236,CodeSage,1,1.5
237,CodeSage,1,1.5
238,CodeSage,1,1.5
239,CodeSage,1,1.5
240,CodeSage,1,2.5
241,CodeSage,1,1.5
242,CodeSage,1,1.5
243,CodeSage,5,5
244,CodeSage,2.5,1.5
245,CodeSage,1,2.5
246,CodeSage,1,1.5
247,CodeSage,2.5,1.5
248,CodeSage,2,2.5
249,CodeSage,3.5,3
250,CodeSage,1,1.5
251,CodeSage,1,2.5
252,CodeSage,2.5,1.5
253,CodeSage,2.5,1.5
254,CodeSage,3.5,1.5
1,StarEncoder,1,2.5
2,StarEncoder,1,2.5
3,StarEncoder,1,2.5
4,StarEncoder,5,5
5,StarEncoder,2.5,1.5
6,StarEncoder,4,2.5
7,StarEncoder,1,2.5
8,StarEncoder,3.5,2.5
9,StarEncoder,5,5
10,StarEncoder,1.5,1.5
11,StarEncoder,1,1.5
12,StarEncoder,3.5,1.5
13,StarEncoder,3,2.5
14,StarEncoder,1,2.5
15,StarEncoder,5,5
16,StarEncoder,1,2.5
17,StarEncoder,3,1.5
18,StarEncoder,1,3.5
19,StarEncoder,4,2.5
20,StarEncoder,3,3.5
21,StarEncoder,2.5,2.5
22,StarEncoder,5,5
23,StarEncoder,1,1.5
24,StarEncoder,3,3.5
25,StarEncoder,1,1.5
26,StarEncoder,5,5
27,StarEncoder,2.5,2.5
28,StarEncoder,1,1.5
29,StarEncoder,5,5
30,StarEncoder,1,2.5
31,StarEncoder,1,1.5
32,StarEncoder,1,2.5
33,StarEncoder,4,2.5
34,StarEncoder,3,2.5
35,StarEncoder,5,5
36,StarEncoder,5,5
37,StarEncoder,5,5
38,StarEncoder,1,1.5
39,StarEncoder,1,2.5
40,StarEncoder,3.5,2.5
41,StarEncoder,1,1.5
42,StarEncoder,3.5,2.5
43,StarEncoder,5,5
44,StarEncoder,1,2.5
45,StarEncoder,1,1.5
46,StarEncoder,3.5,1.5
47,StarEncoder,1,1.5
48,StarEncoder,1,1.5
49,StarEncoder,1,2.5
50,StarEncoder,1,2.5
51,StarEncoder,3.5,3
52,StarEncoder,4,2.5
53,StarEncoder,2.5,1.5
54,StarEncoder,1,1.5
55,StarEncoder,1,1.5
56,StarEncoder,1,1.5
57,StarEncoder,5,5
58,StarEncoder,3,2.5
59,StarEncoder,5,5
60,StarEncoder,3,2.5
61,StarEncoder,3.5,2.5
62,StarEncoder,5,5
63,StarEncoder,1,1.5
64,StarEncoder,1,1.5
65,StarEncoder,1,1.5
66,StarEncoder,4,2.5
67,StarEncoder,4,2.5
68,StarEncoder,1,1.5
69,StarEncoder,1,2.5
70,StarEncoder,3,1.5
71,StarEncoder,4,2.5
72,StarEncoder,4,2.5
73,StarEncoder,4,2.5
74,StarEncoder,3.5,1.5
75,StarEncoder,5,5
76,StarEncoder,5,5
77,StarEncoder,3.5,1.5
78,StarEncoder,1,2.5
79,StarEncoder,1,1.5
80,StarEncoder,1,3.5
81,StarEncoder,4,2.5
82,StarEncoder,5,5
83,StarEncoder,1,1.5
84,StarEncoder,1,1.5
85,StarEncoder,1,2.5
86,StarEncoder,2.5,1.5
87,StarEncoder,5,5
88,StarEncoder,3,2.5
89,StarEncoder,1,1.5
90,StarEncoder,4,2.5
91,StarEncoder,1,2.5
92,StarEncoder,5,5
93,StarEncoder,4,2.5
94,StarEncoder,1,1.5
95,StarEncoder,1,1.5
96,StarEncoder,1,1.5
97,StarEncoder,1,1.5
98,StarEncoder,2.5,1.5
99,StarEncoder,3,3.5
100,StarEncoder,4,2.5
101,StarEncoder,3.5,3
102,StarEncoder,1,1.5
103,StarEncoder,4,4
104,StarEncoder,2.5,1.5
105,StarEncoder,4,1.5
106,StarEncoder,3,2.5
107,StarEncoder,5,5
108,StarEncoder,3.5,1.5
109,StarEncoder,1,1.5
110,StarEncoder,1,1.5
111,StarEncoder,1,1.5
112,StarEncoder,1,1.5
113,StarEncoder,4,2.5
114,StarEncoder,3,1.5
115,StarEncoder,1,1.5
116,StarEncoder,1,1.5
117,StarEncoder,5,5
118,StarEncoder,3,2.5
119,StarEncoder,1,1.5
120,StarEncoder,1,1.5
121,StarEncoder,1,1.5
122,StarEncoder,1,2.5
123,StarEncoder,3,1.5
124,StarEncoder,1,1.5
125,StarEncoder,4,2.5
126,StarEncoder,2.5,1.5
127,StarEncoder,1,1.5
128,StarEncoder,1,1.5
129,StarEncoder,1,2.5
130,StarEncoder,1,1.5
131,StarEncoder,1,1.5
132,StarEncoder,1,1.5
133,StarEncoder,3,1.5
134,StarEncoder,1,1.5
135,StarEncoder,1,1.5
136,StarEncoder,5,5
137,StarEncoder,1,1.5
138,StarEncoder,3,3.5
139,StarEncoder,1,1.5
140,StarEncoder,2.5,1.5
141,StarEncoder,5,5
142,StarEncoder,1,2.5
143,StarEncoder,1,1.5
144,StarEncoder,3,1.5
145,StarEncoder,5,5
146,StarEncoder,1,1.5
147,StarEncoder,1,1.5
148,StarEncoder,2.5,1.5
149,StarEncoder,3.5,1.5
150,StarEncoder,5,5
151,StarEncoder,5,5
152,StarEncoder,5,5
153,StarEncoder,5,5
154,StarEncoder,1,1.5
155,StarEncoder,1,1.5
156,StarEncoder,2.5,1.5
157,StarEncoder,1,2.5
158,StarEncoder,3.5,2.5
159,StarEncoder,4,2.5
160,StarEncoder,1,1.5
161,StarEncoder,1,1.5
162,StarEncoder,1,1.5
163,StarEncoder,1,1.5
164,StarEncoder,1,2.5
165,StarEncoder,3,1.5
166,StarEncoder,1,1.5
167,StarEncoder,3,2.5
168,StarEncoder,5,5
169,StarEncoder,2.5,1.5
170,StarEncoder,1,1.5
171,StarEncoder,2.5,1.5
172,StarEncoder,3.5,1.5
173,StarEncoder,1,1.5
174,StarEncoder,3.5,2.5
175,StarEncoder,2.5,1.5
176,StarEncoder,4,2.5
177,StarEncoder,1,3.5
178,StarEncoder,3,1.5
179,StarEncoder,1,1.5
180,StarEncoder,1,1.5
181,StarEncoder,5,5
182,StarEncoder,3,2.5
183,StarEncoder,1,2.5
184,StarEncoder,1,1.5
185,StarEncoder,1,2.5
186,StarEncoder,1,1.5
187,StarEncoder,1,2.5
188,StarEncoder,2.5,1.5
189,StarEncoder,1,2.5
190,StarEncoder,1,1.5
191,StarEncoder,1,1.5
192,StarEncoder,1,1.5
193,StarEncoder,1,1.5
194,StarEncoder,2.5,1.5
195,StarEncoder,5,5
196,StarEncoder,1,2.5
197,StarEncoder,1,2.5
198,StarEncoder,3.5,1.5
199,StarEncoder,5,5
200,StarEncoder,5,5
201,StarEncoder,5,5
202,StarEncoder,2.5,1.5
203,StarEncoder,2.5,2.5
204,StarEncoder,1,2.5
205,StarEncoder,1,2.5
206,StarEncoder,1,1.5
207,StarEncoder,3,2.5
208,StarEncoder,5,5
209,StarEncoder,1,1.5
210,StarEncoder,1,1.5
211,StarEncoder,1,1.5
212,StarEncoder,1,1.5
213,StarEncoder,1,1.5
214,StarEncoder,1,3.5
215,StarEncoder,5,5
216,StarEncoder,1,1.5
217,StarEncoder,1,1.5
218,StarEncoder,4,1.5
219,StarEncoder,5,5
220,StarEncoder,5,5
221,StarEncoder,5,5
222,StarEncoder,5,5
223,StarEncoder,5,5
224,StarEncoder,1,1.5
225,StarEncoder,1,1.5
226,StarEncoder,1,1.5
227,StarEncoder,5,5
228,StarEncoder,1,2.5
229,StarEncoder,3.5,2.5
230,StarEncoder,4,2.5
231,StarEncoder,4,2.5
232,StarEncoder,1,1.5
233,StarEncoder,1,1.5
234,StarEncoder,2.5,1.5
235,StarEncoder,1,1.5
236,StarEncoder,1,1.5
237,StarEncoder,1,1.5
238,StarEncoder,2.5,1.5
239,StarEncoder,1,1.5
240,StarEncoder,1,2.5
241,StarEncoder,1,1.5
242,StarEncoder,1,2.5
243,StarEncoder,3,2.5
244,StarEncoder,1,1.5
245,StarEncoder,1,1.5
246,StarEncoder,1,1.5
247,StarEncoder,2.5,1.5
248,StarEncoder,2,2.5
249,StarEncoder,4,2.5
250,StarEncoder,3,1.5
251,StarEncoder,1,2.5
252,StarEncoder,1,1.5
253,StarEncoder,3.5,1.5
254,StarEncoder,4,1.5
1,UniXcoder,1,1.5
2,UniXcoder,1,2.5
3,UniXcoder,3.5,2.5
4,UniXcoder,5,5
5,UniXcoder,2.5,1.5
6,UniXcoder,3,2.5
7,UniXcoder,3.5,2.5
8,UniXcoder,1,1.5
9,UniXcoder,5,5
10,UniXcoder,1.5,1
11,UniXcoder,1,1.5
12,UniXcoder,3,1.5
13,UniXcoder,4,2.5
14,UniXcoder,1,2.5
15,UniXcoder,5,5
16,UniXcoder,1,2.5
17,UniXcoder,3,1.5
18,UniXcoder,1,3.5
19,UniXcoder,3.5,1.5
20,UniXcoder,3,3.5
21,UniXcoder,2.5,2.5
22,UniXcoder,5,5
23,UniXcoder,1,1.5
24,UniXcoder,3,3.5
25,UniXcoder,1,1.5
26,UniXcoder,5,5
27,UniXcoder,1,2.5
28,UniXcoder,1,2.5
29,UniXcoder,5,5
30,UniXcoder,5,5
31,UniXcoder,1,1.5
32,UniXcoder,1,2.5
33,UniXcoder,1,1.5
34,UniXcoder,5,5
35,UniXcoder,5,5
36,UniXcoder,4,2.5
37,UniXcoder,5,5
38,UniXcoder,1,1.5
39,UniXcoder,3.5,2.5
40,UniXcoder,5,5
41,UniXcoder,1,1.5
42,UniXcoder,3.5,2.5
43,UniXcoder,5,5
44,UniXcoder,1,1.5
45,UniXcoder,3,1.5
46,UniXcoder,3.5,2.5
47,UniXcoder,1,1.5
48,UniXcoder,1,1.5
49,UniXcoder,1,2.5
50,UniXcoder,1,1.5
51,UniXcoder,4,2.5
52,UniXcoder,3.5,1.5
53,UniXcoder,3,1.5
54,UniXcoder,3.5,1.5
55,UniXcoder,1,1.5
56,UniXcoder,1,1.5
57,UniXcoder,3,2.5
58,UniXcoder,3,1.5
59,UniXcoder,5,5
60,UniXcoder,3,1.5
61,UniXcoder,3.5,2.5
62,UniXcoder,5,5
63,UniXcoder,1,1.5
64,UniXcoder,1,1.5
65,UniXcoder,1,1.5
66,UniXcoder,5,5
67,UniXcoder,3.5,2.5
68,UniXcoder,1,1.5
69,UniXcoder,1,1.5
70,UniXcoder,1,1.5
71,UniXcoder,4,2.5
72,UniXcoder,4,2.5
73,UniXcoder,1,1.5
74,UniXcoder,3.5,1.5
75,UniXcoder,5,5
76,UniXcoder,5,5
77,UniXcoder,3.5,1.5
78,UniXcoder,1,1.5
79,UniXcoder,1,1.5
80,UniXcoder,1,3.5
81,UniXcoder,4,2.5
82,UniXcoder,5,5
83,UniXcoder,1,1.5
84,UniXcoder,1,1.5
85,UniXcoder,1,1.5
86,UniXcoder,1,1.5
87,UniXcoder,1,2.5
88,UniXcoder,3,2.5
89,UniXcoder,1,1.5
90,UniXcoder,4,2.5
91,UniXcoder,1,1.5
92,UniXcoder,5,5
93,UniXcoder,4,2.5
94,UniXcoder,1,1.5
95,UniXcoder,1,1.5
96,UniXcoder,1,1.5
97,UniXcoder,1,1.5
98,UniXcoder,2.5,1.5
99,UniXcoder,3,3.5
100,UniXcoder,4,2.5
101,UniXcoder,3.5,3
102,UniXcoder,1,2.5
103,UniXcoder,3,2.5
104,UniXcoder,1,1.5
105,UniXcoder,5,5
106,UniXcoder,4,4
107,UniXcoder,5,5
108,UniXcoder,1,1.5
109,UniXcoder,1,1.5
110,UniXcoder,1,1.5
111,UniXcoder,1,1.5
112,UniXcoder,1,1.5
113,UniXcoder,4,2.5
114,UniXcoder,1,1.5
115,UniXcoder,1,1.5
116,UniXcoder,1,1.5
117,UniXcoder,5,5
118,UniXcoder,3,2.5
119,UniXcoder,1,1.5
120,UniXcoder,1,1.5
121,UniXcoder,1,1.5
122,UniXcoder,1,1.5
123,UniXcoder,5,5
124,UniXcoder,1,1.5
125,UniXcoder,4,2.5
126,UniXcoder,1,1.5
127,UniXcoder,1,1.5
128,UniXcoder,1,1.5
129,UniXcoder,1,1.5
130,UniXcoder,1,1.5
131,UniXcoder,1,1.5
132,UniXcoder,5,5
133,UniXcoder,3.5,2.5
134,UniXcoder,1,1.5
135,UniXcoder,1,1.5
136,UniXcoder,5,5
137,UniXcoder,1,1.5
138,UniXcoder,3,3.5
139,UniXcoder,1,1.5
140,UniXcoder,1,1.5
141,UniXcoder,5,5
142,UniXcoder,1,2.5
143,UniXcoder,1,1.5
144,UniXcoder,3,1.5
145,UniXcoder,5,5
146,UniXcoder,1,1.5
147,UniXcoder,1,1.5
148,UniXcoder,2.5,1.5
149,UniXcoder,1,1.5
150,UniXcoder,5,5
151,UniXcoder,5,5
152,UniXcoder,5,5
153,UniXcoder,5,5
154,UniXcoder,3.5,1.5
155,UniXcoder,1,1.5
156,UniXcoder,2.5,1.5
157,UniXcoder,1,2.5
158,UniXcoder,3.5,2.5
159,UniXcoder,4,2.5
160,UniXcoder,1,1.5
161,UniXcoder,1,1.5
162,UniXcoder,1,1.5
163,UniXcoder,1,1.5
164,UniXcoder,1,1.5
165,UniXcoder,1,1.5
166,UniXcoder,1,1.5
167,UniXcoder,3,2.5
168,UniXcoder,5,5
169,UniXcoder,2.5,1.5
170,UniXcoder,1,1.5
171,UniXcoder,3.5,1.5
172,UniXcoder,3.5,1.5
173,UniXcoder,1,1.5
174,UniXcoder,3.5,2.5
175,UniXcoder,1,1.5
176,UniXcoder,3,1.5
177,UniXcoder,1,2.5
178,UniXcoder,1,1.5
179,UniXcoder,1,1.5
180,UniXcoder,1,1.5
181,UniXcoder,3,2.5
182,UniXcoder,3,2.5
183,UniXcoder,1,2.5
184,UniXcoder,1,1.5
185,UniXcoder,1,1.5
186,UniXcoder,1,1.5
187,UniXcoder,1,2.5
188,UniXcoder,2.5,1.5
189,UniXcoder,1,1.5
190,UniXcoder,1,1.5
191,UniXcoder,1,1.5
192,UniXcoder,1,1.5
193,UniXcoder,1,1.5
194,UniXcoder,1,1.5
195,UniXcoder,5,5
196,UniXcoder,5,5
197,UniXcoder,1,2.5
198,UniXcoder,3.5,2.5
199,UniXcoder,5,5
200,UniXcoder,5,5
201,UniXcoder,5,5
202,UniXcoder,1,1.5
203,UniXcoder,1,2.5
204,UniXcoder,1,2.5
205,UniXcoder,1,1.5
206,UniXcoder,1,1.5
207,UniXcoder,3.5,1.5
208,UniXcoder,5,5
209,UniXcoder,1,1.5
210,UniXcoder,1,1.5
211,UniXcoder,1,1.5
212,UniXcoder,1,1.5
213,UniXcoder,1,1.5
214,UniXcoder,1,2.5
215,UniXcoder,5,5
216,UniXcoder,1,1.5
217,UniXcoder,1,1.5
218,UniXcoder,5,5
219,UniXcoder,5,5
220,UniXcoder,1,2.5
221,UniXcoder,5,5
222,UniXcoder,5,5
223,UniXcoder,5,5
224,UniXcoder,1,1.5
225,UniXcoder,1,1.5
226,UniXcoder,1,1.5
227,UniXcoder,4,2.5
228,UniXcoder,1,1.5
229,UniXcoder,3.5,2.5
230,UniXcoder,1,1.5
231,UniXcoder,1,1.5
232,UniXcoder,1,1.5
233,UniXcoder,1,1.5
234,UniXcoder,1,1.5
235,UniXcoder,1,1.5
236,UniXcoder,1,2.5
237,UniXcoder,1,1.5
238,UniXcoder,3.5,1.5
239,UniXcoder,1,1.5
240,UniXcoder,1,1.5
241,UniXcoder,1,1.5
242,UniXcoder,1,1.5
243,UniXcoder,5,5
244,UniXcoder,1,1.5
245,UniXcoder,1,1.5
246,UniXcoder,1,1.5
247,UniXcoder,1,1.5
248,UniXcoder,2,2.5
249,UniXcoder,1,2.5
250,UniXcoder,3,1.5
251,UniXcoder,1,2.5
252,UniXcoder,1,1.5
253,UniXcoder,2.5,1.5
254,UniXcoder,3.5,1.5
1,DeepSeek-Coder,1,1
2,DeepSeek-Coder,1,1
3,DeepSeek-Coder,1,2.5
4,DeepSeek-Coder,3.5,1.5
5,DeepSeek-Coder,3,2.5
6,DeepSeek-Coder,1,1.5
7,DeepSeek-Coder,1,1
8,DeepSeek-Coder,3.5,2.5
9,DeepSeek-Coder,1,1
10,DeepSeek-Coder,1,4.5
11,DeepSeek-Coder,1,2.5
12,DeepSeek-Coder,1,2.5
13,DeepSeek-Coder,1,2.5
14,DeepSeek-Coder,1,2.5
15,DeepSeek-Coder,3,1.5
16,DeepSeek-Coder,3.5,2.5
17,DeepSeek-Coder,1,1
18,DeepSeek-Coder,1,2.5
19,DeepSeek-Coder,1.5,4.5
20,DeepSeek-Coder,1,1.5
21,DeepSeek-Coder,1,1
22,DeepSeek-Coder,1,4.5
23,DeepSeek-Coder,1,2.5
24,DeepSeek-Coder,1,4.5
25,DeepSeek-Coder,1,4.5
26,DeepSeek-Coder,1,1
27,DeepSeek-Coder,1,1
28,DeepSeek-Coder,1,4.5
29,DeepSeek-Coder,1,4.5
30,DeepSeek-Coder,1,1
31,DeepSeek-Coder,1,4.5
32,DeepSeek-Coder,1,1.5
33,DeepSeek-Coder,1,1
34,DeepSeek-Coder,5,2.5
35,DeepSeek-Coder,4,2.5
36,DeepSeek-Coder,1,1
37,DeepSeek-Coder,4,2.5
38,DeepSeek-Coder,1,2.5
39,DeepSeek-Coder,3.5,1.5
40,DeepSeek-Coder,1,2.5
41,DeepSeek-Coder,1,1.5
42,DeepSeek-Coder,1,4.5
43,DeepSeek-Coder,1,4.5
44,DeepSeek-Coder,1,4.5
45,DeepSeek-Coder,3,1.5
46,DeepSeek-Coder,5,5
47,DeepSeek-Coder,1,1
48,DeepSeek-Coder,1,2.5
49,DeepSeek-Coder,1,1
50,DeepSeek-Coder,1,1
51,DeepSeek-Coder,1,4.5
52,DeepSeek-Coder,3.5,1.5
53,DeepSeek-Coder,4,2.5
54,DeepSeek-Coder,3.5,2.5
55,DeepSeek-Coder,4,2.5
56,DeepSeek-Coder,1,1.5
57,DeepSeek-Coder,1,1.5
58,DeepSeek-Coder,1,1
59,DeepSeek-Coder,1,4.5
60,DeepSeek-Coder,1,1
61,DeepSeek-Coder,1,1
62,DeepSeek-Coder,1,1
63,DeepSeek-Coder,1,4.5
64,DeepSeek-Coder,1,4.5
65,DeepSeek-Coder,1,4.5
66,DeepSeek-Coder,1,4.5
67,DeepSeek-Coder,5,5
68,DeepSeek-Coder,3.5,1.5
69,DeepSeek-Coder,2.5,4.5
70,DeepSeek-Coder,1,4.5
71,DeepSeek-Coder,1,1.5
72,DeepSeek-Coder,1,1.5
73,DeepSeek-Coder,1,1.5
74,DeepSeek-Coder,1,4.5
75,DeepSeek-Coder,1,1
76,DeepSeek-Coder,1,2.5
77,DeepSeek-Coder,1,4.5
78,DeepSeek-Coder,1,1
79,DeepSeek-Coder,1,4.5
80,DeepSeek-Coder,1,1
81,DeepSeek-Coder,1,4.5
82,DeepSeek-Coder,3.5,4.5
83,DeepSeek-Coder,1,4.5
84,DeepSeek-Coder,1,1.5
85,DeepSeek-Coder,1,1
86,DeepSeek-Coder,5,2.5
87,DeepSeek-Coder,1,1.5
88,DeepSeek-Coder,1,1
89,DeepSeek-Coder,1,1
90,DeepSeek-Coder,1,1
91,DeepSeek-Coder,1,1
92,DeepSeek-Coder,1,4.5
93,DeepSeek-Coder,4,2.5
94,DeepSeek-Coder,1,4.5
95,DeepSeek-Coder,5,5
96,DeepSeek-Coder,1,1.5
97,DeepSeek-Coder,1,2.5
98,DeepSeek-Coder,1,1
99,DeepSeek-Coder,1,4.5
100,DeepSeek-Coder,1,4.5
101,DeepSeek-Coder,1,1
102,DeepSeek-Coder,1,1
103,DeepSeek-Coder,3,1.5
104,DeepSeek-Coder,3.5,4.5
105,DeepSeek-Coder,3.5,1.5
106,DeepSeek-Coder,1,4.5
107,DeepSeek-Coder,1,1
108,DeepSeek-Coder,1,4.5
109,DeepSeek-Coder,1,1
110,DeepSeek-Coder,1,1
111,DeepSeek-Coder,1,1
112,DeepSeek-Coder,1,1
113,DeepSeek-Coder,3,4.5
114,DeepSeek-Coder,3,4.5
115,DeepSeek-Coder,1,1
116,DeepSeek-Coder,1,1.5
117,DeepSeek-Coder,5,1.5
118,DeepSeek-Coder,1,1
119,DeepSeek-Coder,1,4.5
120,DeepSeek-Coder,1,1
121,DeepSeek-Coder,1,1.5
122,DeepSeek-Coder,1,1
123,DeepSeek-Coder,3,4.5
124,DeepSeek-Coder,4,2.5
125,DeepSeek-Coder,1,4.5
126,DeepSeek-Coder,1,4.5
127,DeepSeek-Coder,1,1
128,DeepSeek-Coder,1,2.5
129,DeepSeek-Coder,1,1
130,DeepSeek-Coder,1,1
131,DeepSeek-Coder,1,1
132,DeepSeek-Coder,1,4.5
133,DeepSeek-Coder,3.5,4.5
134,DeepSeek-Coder,1,1
135,DeepSeek-Coder,1,1
136,DeepSeek-Coder,1,1
137,DeepSeek-Coder,1,4.5
138,DeepSeek-Coder,1,1.5
139,DeepSeek-Coder,1,1
140,DeepSeek-Coder,1,1
141,DeepSeek-Coder,1,1
142,DeepSeek-Coder,1,1
143,DeepSeek-Coder,3.5,4.5
144,DeepSeek-Coder,3,1.5
145,DeepSeek-Coder,3,1.5
146,DeepSeek-Coder,5,2.5
147,DeepSeek-Coder,1,2.5
148,DeepSeek-Coder,1,4.5
149,DeepSeek-Coder,5,5
150,DeepSeek-Coder,1,1
151,DeepSeek-Coder,4,2.5
152,DeepSeek-Coder,5,5
153,DeepSeek-Coder,1,1
154,DeepSeek-Coder,1,4.5
155,DeepSeek-Coder,1,1
156,DeepSeek-Coder,1,4.5
157,DeepSeek-Coder,1,4.5
158,DeepSeek-Coder,3.5,2.5
159,DeepSeek-Coder,3.5,4.5
160,DeepSeek-Coder,1,2.5
161,DeepSeek-Coder,1,1
162,DeepSeek-Coder,1,2.5
163,DeepSeek-Coder,3.5,2.5
164,DeepSeek-Coder,3,1.5
165,DeepSeek-Coder,1,1.5
166,DeepSeek-Coder,1,1.5
167,DeepSeek-Coder,1,1
168,DeepSeek-Coder,3.5,4.5
169,DeepSeek-Coder,1,1.5
170,DeepSeek-Coder,1,4.5
171,DeepSeek-Coder,1,1.5
172,DeepSeek-Coder,1,0.5
173,DeepSeek-Coder,1,4.5
174,DeepSeek-Coder,1,4.5
175,DeepSeek-Coder,1,4.5
176,DeepSeek-Coder,1,2.5
177,DeepSeek-Coder,1,1.5
178,DeepSeek-Coder,3.5,4.5
179,DeepSeek-Coder,1,4.5
180,DeepSeek-Coder,1,1
181,DeepSeek-Coder,1,4.5
182,DeepSeek-Coder,1,1
183,DeepSeek-Coder,1,1
184,DeepSeek-Coder,1,1
185,DeepSeek-Coder,5,5
186,DeepSeek-Coder,2.5,4.5
187,DeepSeek-Coder,1,1.5
188,DeepSeek-Coder,1,4.5
189,DeepSeek-Coder,3,4.5
190,DeepSeek-Coder,1,1
191,DeepSeek-Coder,1,2.5
192,DeepSeek-Coder,1,1
193,DeepSeek-Coder,1,1.5
194,DeepSeek-Coder,1,2.5
195,DeepSeek-Coder,1,1
196,DeepSeek-Coder,3.5,2.5
197,DeepSeek-Coder,1,1.5
198,DeepSeek-Coder,3.5,2.5
199,DeepSeek-Coder,3,1.5
200,DeepSeek-Coder,1,1
201,DeepSeek-Coder,3,2.5
202,DeepSeek-Coder,2.5,1.5
203,DeepSeek-Coder,1,1.5
204,DeepSeek-Coder,3.5,2.5
205,DeepSeek-Coder,1,4.5
206,DeepSeek-Coder,1,2.5
207,DeepSeek-Coder,3,2.5
208,DeepSeek-Coder,3.5,4.5
209,DeepSeek-Coder,1,1.5
210,DeepSeek-Coder,3,1.5
211,DeepSeek-Coder,1,1
212,DeepSeek-Coder,1,1.5
213,DeepSeek-Coder,1,1
214,DeepSeek-Coder,1,1.5
215,DeepSeek-Coder,3.5,2.5
216,DeepSeek-Coder,1,2.5
217,DeepSeek-Coder,2.5,4.5
218,DeepSeek-Coder,1,2.5
219,DeepSeek-Coder,1,1
220,DeepSeek-Coder,1,1
221,DeepSeek-Coder,3,4.5
222,DeepSeek-Coder,1,2.5
223,DeepSeek-Coder,3.5,4.5
224,DeepSeek-Coder,1,1
225,DeepSeek-Coder,1,1
226,DeepSeek-Coder,1,2.5
227,DeepSeek-Coder,3.5,4.5
228,DeepSeek-Coder,1,4.5
229,DeepSeek-Coder,1,1.5
230,DeepSeek-Coder,3,2.5
231,DeepSeek-Coder,3.5,4.5
232,DeepSeek-Coder,5,2.5
233,DeepSeek-Coder,1,4.5
234,DeepSeek-Coder,3.5,4.5
235,DeepSeek-Coder,1,1.5
236,DeepSeek-Coder,1,4.5
237,DeepSeek-Coder,1,1
238,DeepSeek-Coder,3,2.5
239,DeepSeek-Coder,1,1
240,DeepSeek-Coder,1,1
241,DeepSeek-Coder,1,2.5
242,DeepSeek-Coder,1,2.5
243,DeepSeek-Coder,4,2.5
244,DeepSeek-Coder,5,5
245,DeepSeek-Coder,1,1.5
246,DeepSeek-Coder,3.5,2.5
247,DeepSeek-Coder,1,1
248,DeepSeek-Coder,1,1.5
249,DeepSeek-Coder,1,2.5
250,DeepSeek-Coder,3,1.5
251,DeepSeek-Coder,1,1.5
252,DeepSeek-Coder,1,1
253,DeepSeek-Coder,3,2.5
254,DeepSeek-Coder,1,4.5
1,Code-Llama,1,1.5
2,Code-Llama,1,1
3,Code-Llama,1,2.5
4,Code-Llama,4.5,2.5
5,Code-Llama,2.5,2.5
6,Code-Llama,1,4.5
7,Code-Llama,1,1
8,Code-Llama,5,5
9,Code-Llama,1,1
10,Code-Llama,1,2.5
11,Code-Llama,1,1.5
12,Code-Llama,1,2.5
13,Code-Llama,1,1
14,Code-Llama,1,2.5
15,Code-Llama,3,1.5
16,Code-Llama,3.5,2.5
17,Code-Llama,3.5,2.5
18,Code-Llama,1,4.5
19,Code-Llama,1,1
20,Code-Llama,1,2.5
21,Code-Llama,1,1
22,Code-Llama,1,4.5
23,Code-Llama,1,1
24,Code-Llama,3,2.5
25,Code-Llama,1,4.5
26,Code-Llama,1,1
27,Code-Llama,1,4.5
28,Code-Llama,3.5,2.5
29,Code-Llama,1,4.5
30,Code-Llama,1,1
31,Code-Llama,1,2.5
32,Code-Llama,1,1.5
33,Code-Llama,3.5,4.5
34,Code-Llama,5,2.5
35,Code-Llama,5,5
36,Code-Llama,1,1
37,Code-Llama,4,2.5
38,Code-Llama,1,2.5
39,Code-Llama,3.5,1.5
40,Code-Llama,1,2.5
41,Code-Llama,1,1.5
42,Code-Llama,1,1
43,Code-Llama,1,1.5
44,Code-Llama,1,4.5
45,Code-Llama,3,2.5
46,Code-Llama,5,5
47,Code-Llama,1,1
48,Code-Llama,1,2.5
49,Code-Llama,1,1
50,Code-Llama,1,1
51,Code-Llama,1,1.5
52,Code-Llama,3.5,1.5
53,Code-Llama,1,1
54,Code-Llama,4,2.5
55,Code-Llama,4,2.5
56,Code-Llama,1,1.5
57,Code-Llama,1,2.5
58,Code-Llama,1,1
59,Code-Llama,1,1
60,Code-Llama,1,1
61,Code-Llama,1,1
62,Code-Llama,1,1
63,Code-Llama,3.5,2.5
64,Code-Llama,1,4.5
65,Code-Llama,1,2.5
66,Code-Llama,3.5,2.5
67,Code-Llama,5,5
68,Code-Llama,3.5,2.5
69,Code-Llama,2.5,4.5
70,Code-Llama,2.5,4.5
71,Code-Llama,1,1.5
72,Code-Llama,1,1.5
73,Code-Llama,1,1
74,Code-Llama,1,2.5
75,Code-Llama,1,1
76,Code-Llama,1,2.5
77,Code-Llama,3.5,4.5
78,Code-Llama,1,1
79,Code-Llama,1,2.5
80,Code-Llama,1,1.5
81,Code-Llama,1,4.5
82,Code-Llama,5,5
83,Code-Llama,1,4.5
